,GHGRP ID,Landfill ID,Landfill Name,State,Physical Address,City,County,Zip Code,Latitude,Longitude,Ownership Type,Landfill Owner Organization(s),Year Landfill Opened,Landfill Closure Year,Current Landfill Status,Waste in Place (tons),Waste in Place Year,LFG Collection System In Place?,LFG Collected (mmscfd),LFG Flared (mmscfd),Project ID,Current Project Status,Project Name,Project Start Date,Project Shutdown Date,Project Type Category,LFG Energy Project Type,RNG Delivery Method,Actual MW Generation,Rated MW Capacity,LFG Flow to Project (mmscfd),Current Year Emission Reductions (MMTCO2e/yr) - Direct,Current Year Emission Reductions (MMTCO2e/yr) - Avoided
15,,522,CDT LF,IL,2851 Mound Road,Rockdale,Will,60436.0,41.500371,-88.144914,Private,CDT Landfill Corporation,1984.0,2000.0,Closed,1596000.0,2000.0,Yes,0.5,,587-0,Operational,Project #1,1997-01-01 00:00:00,,Electricity,Reciprocating Engine,,1.6,,,0.08096,0.00829
16,1003509.0,504,Chain of Rocks RDF,IL,3399 W. Chain of Rocks Road,Granite City,Madison,62040.0,38.76235,-90.12949,Private,WM,1973.0,2004.0,Closed,5965128.0,2004.0,Yes,0.393,0.393,569-0,Low Potential,,,,Unknown,Unknown,,,,,,
17,1008012.0,474,CID Recycling and Disposal Facility,IL,13707 S. Jeffery Avenue,Chicago,Cook,60633.0,41.655,-87.578,Private,WM,1966.0,2007.0,Closed,31065972.0,2007.0,Yes,1.944,0.015,539-0,Shutdown,Project #1,1988-01-01 00:00:00,1999-12-31 00:00:00,Electricity,Gas Turbine,,9.3,9.3,,0.0,0.0
18,1008012.0,474,CID Recycling and Disposal Facility,IL,13707 S. Jeffery Avenue,Chicago,Cook,60633.0,41.655,-87.578,Private,WM,1966.0,2007.0,Closed,31065972.0,2007.0,Yes,1.944,0.015,539-1,Shutdown,"Project #1, De-Expansion #1",2000-01-01 00:00:00,2011-12-31 00:00:00,Electricity,Gas Turbine,,3.45,6.2,3.02,0.0,0.0
19,1008012.0,474,CID Recycling and Disposal Facility,IL,13707 S. Jeffery Avenue,Chicago,Cook,60633.0,41.655,-87.578,Private,WM,1966.0,2007.0,Closed,31065972.0,2007.0,Yes,1.944,0.015,539-2,Operational,"Project #1, De-Expansion #2",2012-01-01 00:00:00,,Electricity,Gas Turbine,,2.33,3.1,1.89,0.1179,0.01207
20,1007467.0,481,Clinton Landfill Inc.,IL,9550 Heritage Road,Clinton,De Witt,61727.0,40.114,-88.958,Private,GFL Environmental USA Inc.,1970.0,2060.0,Open,9460052.0,2021.0,Yes,2.883,1.875,546-0,Operational,Project #1,2007-01-01 00:00:00,,Electricity,Reciprocating Engine,,2.3,3.2,1.008,0.11638,0.01192
21,1006348.0,472,Coles County Landfill,IL,6351 West State Street,Charleston,Coles,61920.0,39.509,-88.267,Private,"Republic Services, Inc.",1979.0,2009.0,Closed,2284442.0,2009.0,Yes,0.288,0.288,537-0,Low Potential,,,,Unknown,Unknown,,,,,,
22,1006289.0,1862,Congress Development Company LF,IL,4100 W. Frontage Road,Hillside,Cook,60162.0,41.8721,-87.8885,Private,Congress Development Company,1980.0,2008.0,Closed,8861616.0,2008.0,Yes,3.604,3.604,166908-0,Shutdown,Project #1,2001-09-01 00:00:00,2005-11-01 00:00:00,Electricity,Gas Turbine,,12.0,15.6,,,
23,1003216.0,2306,Cottonwood Hills LF,IL,10400 Hillstown Road,Marissa,St. Clair,62257.0,38.26,-89.78,Private,WM,2000.0,2085.0,Open,8512831.0,2021.0,Yes,2.191,2.191,180403-0,Candidate,,,,Unknown,Unknown,,,,,,
24,1007992.0,495,Countryside LF,IL,31725 N. Route 83,Grayslake,Lake,60030.0,42.32424,-88.0289,Private,WM,1978.0,2026.0,Open,16947375.0,2021.0,Yes,4.008,4.008,201551-0,Construction,Project #2,2022-12-31 00:00:00,,Renewable Natural Gas,Other,Unknown,,,,,
25,1007992.0,495,Countryside LF,IL,31725 N. Route 83,Grayslake,Lake,60030.0,42.32424,-88.0289,Private,WM,1978.0,2026.0,Open,16947375.0,2021.0,Yes,4.008,4.008,560-0,Shutdown,Project #1,2000-01-01 00:00:00,2012-12-31 00:00:00,Electricity,Reciprocating Engine,,5.54,7.8,,,
26,1007992.0,495,Countryside LF,IL,31725 N. Route 83,Grayslake,Lake,60030.0,42.32424,-88.0289,Private,WM,1978.0,2026.0,Open,16947375.0,2021.0,Yes,4.008,4.008,560-1,Shutdown,"Project #1, Replacement",2013-01-01 00:00:00,2020-11-30 00:00:00,Electricity,Gas Turbine,,3.96,10.8,,,
27,1006991.0,2418,Davis Junction Landfill,IL,8900 Highway 251,Davis Junction,Ogle,61020.0,42.147,-89.0825,Private,"Republic Services, Inc.",1976.0,1995.0,Closed,,,Yes,0.403,0.403,180786-0,Shutdown,Project #1,1996-01-01 00:00:00,2009-01-01 00:00:00,Electricity,Reciprocating Engine,,2.0,,,,
28,1007724.0,480,DeKalb County LF,IL,18370 Somonauk Road,DeKalb,DeKalb,60115.0,41.898,-88.686,Private,WM,1958.0,2062.0,Open,7301105.0,2021.0,Yes,3.345,3.345,545-0,Candidate,,,,Unknown,Unknown,,,,,,
29,1003743.0,1866,Des Plaines Landfill,IL,9800 West Central Road,Des Plaines,Cook,60016.0,42.0689,-87.8653,Private,Archdiocese of Chicago,1963.0,1983.0,Closed,6914370.0,1983.0,Yes,0.365,0.365,166913-0,Shutdown,Project #1,2004-11-01 00:00:00,2009-12-31 00:00:00,Electricity,Reciprocating Engine,,1.72,3.5,0.78,,
30,1003743.0,1866,Des Plaines Landfill,IL,9800 West Central Road,Des Plaines,Cook,60016.0,42.0689,-87.8653,Private,Archdiocese of Chicago,1963.0,1983.0,Closed,6914370.0,1983.0,Yes,0.365,0.365,166913-1,Shutdown,"Project #1, De-Expansion #1",2010-01-01 00:00:00,2014-01-01 00:00:00,Electricity,Reciprocating Engine,,1.16,3.5,0.54,,
31,1014391.0,21398,Eco Hill Landfill,IL,137 Commercial Drive,Atkinson,Henry,61235.0,41.407503,-90.003647,Private,Ecology Solutions,1981.0,2034.0,Open,3097270.0,2021.0,No,,,201702-0,Candidate,,,,Unknown,Unknown,,,,,,
